Date,ESGU,VICE,FSI,ESGD,US
2019/1/30,58.700001,23.030001,-1.596,61.209999,-0.741
2019/1/31,59.23,23.413,-1.701,61.130001,-0.764
2019/2/1,59.200001,23.49,-1.85,61.07,-0.83
2019/2/4,59.504002,23.6,-1.939,61.195,-0.875
2019/2/5,59.924999,23.714001,-2.061,61.810001,-0.905
2019/2/6,59.900002,23.639999,-2.073,61.400002,-0.912
2019/2/7,59.32,23.5,-1.865,60.669998,-0.845
2019/2/8,59.25,23.700001,-1.794,60.450001,-0.881
2019/2/11,59.5,23.709999,-1.875,60.299999,-0.908
2019/2/12,60.189999,24.209999,-2.109,61.060001,-0.985
2019/2/13,60.48,24.415001,-2.174,61.07,-1.015
2019/2/14,60.41,24.372999,-2.065,61.099998,-0.97
2019/2/15,60.814999,24.552,-2.17,61.939999,-1.058
2019/2/19,61.060001,24.629999,-2.306,62.18,-1.114
2019/2/20,61.119999,24.950001,-2.449,62.419998,-1.176
2019/2/21,60.827,24.950001,-2.466,62.259998,-1.18
2019/2/22,61.299999,25.089001,-2.591,62.470001,-1.232
2019/2/25,61.43,25.07,-2.599,62.650002,-1.216
2019/2/26,61.459999,25.017,-2.621,63,-1.211
2019/2/27,61.439999,25.017,-2.68,62.720001,-1.23
2019/2/28,61.259998,25.08,-2.711,62.610001,-1.235
2019/3/1,61.599998,25.24,-2.837,62.889999,-1.317
2019/3/4,61.269001,25.110001,-2.827,62.759998,-1.287
2019/3/5,61.349998,25.26,-2.837,62.849998,-1.271
2019/3/6,60.919998,25.02,-2.727,62.669998,-1.209
2019/3/7,60.25,24.870001,-2.526,61.779999,-1.106
2019/3/8,60.237,24.752001,-2.395,61.77,-1.115
2019/3/11,61.169998,25.273001,-2.608,62.389999,-1.224
2019/3/12,61.349998,25.209,-2.714,62.389999,-1.264
2019/3/13,61.84,25.309999,-2.774,62.919998,-1.313
2019/3/14,61.808998,25.337999,-2.859,62.880001,-1.312
2019/3/15,62.110001,25.42,-2.982,63.5,-1.345
2019/3/18,62.360001,25.694,-3.076,63.759998,-1.367
2019/3/19,62.25,25.551001,-3.139,63.955002,-1.384
2019/3/20,61.974998,25.559,-3.011,63.970001,-1.355
2019/3/21,62.689999,25.620001,-3,63.950001,-1.402
2019/3/22,61.470001,25.184999,-2.614,62.672001,-1.184
2019/3/25,61.389999,25.17,-2.379,62.703999,-1.143
2019/3/26,61.849998,25.33,-2.588,63.080002,-1.229
2019/3/27,61.52,25.08,-2.403,63.02,-1.122
2019/3/28,61.73,25.285,-2.357,62.82,-1.15
2019/3/29,62.139999,25.48,-2.559,63.18,-1.21
2019/4/1,62.887001,25.549,-2.836,63.959999,-1.318
2019/4/2,63.029999,25.485001,-2.873,64.040001,-1.326
